version,name,status
20260909170209,smart_shop_v4_partner_admin_foundation,APPLIED
20260909172211,smart_shop_v4_security_hardening,APPLIED
20260909173544,smart_shop_v4_master_approval_workflows,APPLIED
20260909174352,smart_shop_v4_order_delivery_state_machine,APPLIED
20260909174543,smart_shop_v4_courier_offer_visibility,APPLIED
20260909175659,smart_shop_v4_delivery_codes_and_courier_steps,APPLIED
20260909180041,smart_shop_v4_in_app_notifications,APPLIED
20260909180413,smart_shop_v4_security_performance_cleanup,APPLIED
20260909180807,smart_shop_v4_storage_and_document_hardening,APPLIED
20260909181059,smart_shop_v4_partner_document_review_and_approval_guards,APPLIED
20260909181353,smart_shop_v4_protect_partner_review_fields,APPLIED
20260909181742,smart_shop_v4_financial_settlement,APPLIED
20260909182157,smart_shop_v4_order_issues_and_returns,APPLIED
20260909182556,smart_shop_v4_secure_checkout,APPLIED
20260909183521,smart_shop_v4_performance_followup,APPLIED
20260909183731,smart_shop_v4_rls_initplan_optimization,APPLIED
20260909184401,smart_shop_v4_cancel_restore_stock_coupon,APPLIED
20260909184607,smart_shop_v4_admin_coupon_settings,APPLIED
20260909184837,smart_shop_v4_favorites,APPLIED
20260909185329,smart_shop_v4_store_category,APPLIED
20260909185526,smart_shop_v4_atomic_default_addresses,APPLIED
20260909185814,smart_shop_v4_checkout_idempotency,APPLIED
20260909190032,smart_shop_v4_configurable_freight,APPLIED
20260909191152,smart_shop_v4_banners_and_coupon_policy_cleanup,APPLIED
20260909191506,smart_shop_v4_reviews,APPLIED
20260909191929,smart_shop_v4_support_tickets,APPLIED
20260909192202,smart_shop_v4_support_replies,APPLIED
20260909192404,smart_shop_v4_payout_ledger,APPLIED
20260909192657,smart_shop_v4_cancel_restore_previous_status,APPLIED
20260909192829,smart_shop_v4_store_public_approval_and_settings,APPLIED
20260909193007,smart_shop_v4_store_safe_update,APPLIED
20260909193959,smart_shop_v4_reviews_hardening,APPLIED
20260909194114,smart_shop_v4_role_permissions,APPLIED
20260909194506,smart_shop_v4_master_role_management,APPLIED
20260909194631,smart_shop_v4_role_management_by_email,APPLIED
20260909194754,smart_shop_v4_order_financial_breakdown,APPLIED
20260909194815,smart_shop_v4_checkout_financial_columns,APPLIED
20260909195240,smart_shop_v4_support_role_access,APPLIED
20260909195330,smart_shop_v4_operations_campaign_access,APPLIED
20260909195657,smart_shop_v4_finance_role_access,APPLIED
20260909195749,smart_shop_v4_atomic_delivery_settlement,APPLIED
20260909200106,smart_shop_v4_missing_fk_indexes,APPLIED
20260909200250,smart_shop_v4_scoped_operational_roles,APPLIED
20260909200437,smart_shop_v4_operations_courier_and_order_issues,APPLIED
20260909201022,smart_shop_v4_master_team_list_with_email,APPLIED
20260909204439,smart_shop_v4_role_audit_and_review_scope,APPLIED
20260909204754,smart_shop_v4_delivery_methods_merchant_flow,APPLIED
20260909205008,smart_shop_v4_verification_code_scope_hardening,APPLIED
20260909205707,smart_shop_v4_checkout_store_delivery_mode_guard,APPLIED
20260909210801,smart_shop_v4_product_public_store_guard,APPLIED
20260909210955,smart_shop_v4_product_image_limits,APPLIED
20260909211955,smart_shop_v4_checkout_quote,APPLIED
20260909212418,smart_shop_v4_partner_application_resubmission_guard,APPLIED
20260909213652,smart_shop_v4_settlement_requires_single_store,APPLIED
20260909213851,smart_shop_v4_finance_order_summary_rpc,APPLIED
20260909214419,smart_shop_v4_partner_document_latest_guard,APPLIED
20260909214816,smart_shop_v4_product_price_integrity,APPLIED
20260909232311,smart_shop_v4_checkout_generated_subtotal_fix,APPLIED
20260909232657,smart_shop_v4_order_financial_trigger_fix,APPLIED
20260909232959,smart_shop_test_bella_moda_owner_link,APPLIED
20260909233628,smart_shop_v4_order_actor_role_resolution,APPLIED
20260913214100,smart_shop_v4_courier_self_registration_grants,APPLIED
20260913214234,smart_shop_v4_partner_guard_store_id_fix,APPLIED
20260913231329,smart_shop_v4_courier_support_self_service_access,APPLIED
20260913231837,smart_shop_v4_notifications_authenticated_access,APPLIED
20260913232624,smart_shop_v4_courier_delivery_details_and_gps_foundation,APPLIED
20260913233459,smart_shop_demo_store_addresses,APPLIED
20260913235427,smart_shop_v4_order_status_history_customer_read,APPLIED
20260914003600,smart_shop_v4_public_catalog_helper_execute,APPLIED
20260914004135,smart_shop_v4_public_catalog_direct_rls,APPLIED
20260914004315,smart_shop_v4_remove_legacy_public_catalog_policies,APPLIED
20260914014039,smart_shop_v4_marketplace_growth_foundation,APPLIED
20260914022202,smart_shop_store_followers_notifications,APPLIED
20260914022225,smart_shop_referral_unique_referred,APPLIED
20260914022241,smart_shop_referral_code_lookup,APPLIED
20260914022251,smart_shop_referral_claim_policy,APPLIED
20260914022524,smart_shop_product_sales_summary,APPLIED
20260914022758,smart_shop_coupon_scope_quote,APPLIED
20260914022934,smart_shop_coupon_scope_checkout,APPLIED
20260914022953,smart_shop_coupon_funding_settlement,APPLIED
20260914112627,smart_shop_referral_auto_qualification,APPLIED
20260914112640,smart_shop_demo_store_schedules,APPLIED
20260914113157,smart_shop_store_quality_refresh,APPLIED
20260914113207,smart_shop_store_quality_triggers,APPLIED
20260914113308,smart_shop_growth_table_grants,APPLIED
20260914113424,smart_shop_campaign_rls_role_fix,APPLIED
20260914113612,smart_shop_reviews_public_read_fix,APPLIED
20260914113657,smart_shop_campaign_targets,APPLIED
20260914113916,smart_shop_store_follower_coupon_notifications,APPLIED
20260914115357,smart_shop_merchant_business_types_approval,APPLIED
20260914115931,smart_shop_revoke_anon_internal_functions,APPLIED
20260914120023,smart_shop_public_sales_metrics_security_hardening,APPLIED
20260914124417,smart_shop_v4_favorite_stores,APPLIED
20260914124431,smart_shop_v4_product_discovery_metrics,APPLIED
20260914124506,smart_shop_v4_demo_store_hours,APPLIED
20260914124524,smart_shop_v4_store_quality_backfill,APPLIED
20260914124539,smart_shop_v4_demo_interactive_banners,APPLIED
20260914124755,smart_shop_v4_product_metrics_refresh_reviews,APPLIED
20260914160540,smart_shop_v4_settlement_uuid_aggregation_fix,APPLIED
20260914160800,smart_shop_v4_recipient_specific_notifications,APPLIED
20260914160957,smart_shop_v4_enforce_delivery_geofence,APPLIED
20260914161304,smart_shop_v4_document_verification_codes_rls,APPLIED
